date,price_new,price_2nd
2021-12-12,324.99,329.99
2021-12-13,324.99,330.0
2021-12-14,324.99,330.0
2021-12-15,324.99,330.0
2021-12-17,320.0,330.0
2021-12-18,320.0,330.0
2021-12-19,320.0,330.0
2021-12-20,320.0,330.0
2021-12-21,320.0,330.0
2021-12-23,324.99,319.0
2021-12-24,324.99,319.99
2021-12-25,315.0,319.0
2021-12-26,315.0,319.0
2021-12-28,324.97,319.0
2021-12-29,324.99,319.0
2021-12-30,324.99,319.99
2021-12-31,324.0,319.99
2022-1-1,324.0,319.99
2022-1-3,324.99,330.0
2022-1-4,324.97,330.0
2022-1-5,324.97,330.0
2022-1-6,323.99,330.0
2022-1-8,323.99,364.99
2022-1-9,324.0,364.99
2022-1-10,324.0,364.99
2022-1-11,324.0,364.99
2022-1-12,324.99,364.99
2022-1-14,324.99,364.99
2022-1-15,324.99,364.99
2022-1-16,324.99,364.99
2022-1-17,324.99,349.99
2022-1-19,324.99,314.0
2022-1-20,324.99,349.99
2022-1-21,324.99,349.0
2022-1-22,324.99,349.0
2022-1-23,324.99,349.0
2022-1-25,324.99,349.0
2022-1-26,321.34,349.0
2022-1-27,300.65,349.0
2022-1-28,300.65,349.0
2022-1-30,316.48,349.0
2022-1-31,319.99,329.99
2022-2-1,334.49,329.99
2022-2-2,334.49,329.99
2022-2-3,329.99,308.99
2022-2-5,329.99,333.0
2022-2-6,322.59,333.0
2022-2-7,322.59,333.0
2022-2-8,322.59,325.0
2022-2-10,310.79,325.0
2022-2-11,310.79,308.99
2022-2-12,306.85,325.0
2022-2-13,302.92,325.0
2022-2-14,291.11,256.08
2022-2-16,291.11,259.49
2022-2-17,291.11,325.0
2022-2-18,291.11,259.49
2022-2-19,293.47,259.49
2022-2-21,293.47,259.49
2022-2-22,293.47,259.49
2022-2-23,299.49,258.12
2022-2-24,311.17,258.12
2022-2-25,314.11,325.0
2022-2-27,314.99,200.0
2022-2-28,314.99,200.0
2022-3-1,314.99,278.65
2022-3-2,314.99,299.98
2022-3-4,314.99,309.99
2022-3-5,314.99,256.76
2022-3-6,314.99,256.76
2022-3-7,314.99,256.76
2022-3-8,314.99,200.0
2022-3-10,314.49,255.39
2022-3-11,314.49,267.0
2022-3-12,296.1,275.71
2022-3-13,283.02,246.74
